time_s,fusion_absolute_error_cm,model1_fixed_absolute_error_cm,model2_fixed_absolute_error_cm
14.650000000000004,4.531524417491361,6.454329138288884,10.49051736814608
14.750000000000004,4.549488041126488,5.924572939717388,10.249594916191993
14.850000000000003,4.55201991053089,5.4271694903641405,9.776915247112422
14.950000000000003,4.540908095676115,5.001970525655837,9.088492275982171
15.050000000000004,4.518707353118183,4.673226057576838,8.229630900734422
15.150000000000004,4.487564018544082,4.473246362246357,7.302214247354091
15.250000000000004,4.454191129675531,4.465833477604467,6.4601904637408465
15.350000000000003,4.43028934972147,4.725053667930117,5.847509082871218
15.450000000000003,4.425080884200136,5.277724538032501,5.520769538799525
15.550000000000004,4.439416789865879,6.065464958121806,5.4266852784419966
15.650000000000004,4.47002631328033,6.9685904956123155,5.450930610309279
15.750000000000004,4.520004344795815,7.863079477467339,5.488653921674929
15.850000000000003,4.600151056461282,8.668765034887212,5.485157276432305
15.950000000000005,4.719190484652672,9.373818467579124,5.431011115388672
16.050000000000004,4.871411151772001,10.023207989250942,5.340045405934165
16.150000000000002,5.034090583892711,10.666197188785146,5.230837618965233
16.250000000000004,5.176389427229466,11.297559838788716,5.122077001048958
16.350000000000005,5.273070520935821,11.84135433479924,5.03202961070934
16.450000000000003,5.313411696811249,12.200260147425823,4.9750121402927245
16.550000000000004,5.300610393399704,12.314400319853508,4.958966821559026
16.650000000000006,5.243622968135548,12.177991183772594,4.9830684319470535
16.750000000000004,5.149301616332976,11.814269563442553,5.035942996294232
16.850000000000005,5.022138089663266,11.264324813378634,5.092830255693428
16.950000000000003,4.869074872291035,10.59521801337948,5.117416286834672
17.050000000000004,4.701447813431164,9.900496101943112,5.071840962919549
17.150000000000006,4.530564187558171,9.26155064705201,4.934091411484221
17.250000000000004,4.362443773327056,8.708221383950804,4.707256234953993
17.350000000000005,4.197410224597404,8.223838983693465,4.413640521627583
17.450000000000003,4.033795778939803,7.788197360363645,4.07687679807695
17.550000000000004,3.870311786040587,7.398022611994721,3.7100217230944317
17.650000000000006,3.7071937526274454,7.048218016517426,3.3180030499812725
17.750000000000004,3.546208193790939,6.715941104978616,2.9043772563963275
17.850000000000005,3.3914752488018665,6.378669422706995,2.476051341540752
17.950000000000003,3.248657421223379,6.039396665394941,2.0455965493743316
18.050000000000004,3.1230646503439763,5.720152896490703,1.6387954289555005
18.150000000000006,3.0179213831249365,5.429842803094317,1.2979454487710678
18.250000000000004,2.9329928989123184,5.152363826681458,1.0763688757414887
