time_s,pid_absolute_error_cm,pid_signed_error_cm,smc_absolute_error_cm,smc_signed_error_cm,fusion_absolute_error_cm,fusion_signed_error_cm
13.650000000000004,3.5679166455441336,3.5638378385337766,7.096871743987409,7.096871743987409,3.5590965103066563,1.4634710348795719
13.750000000000004,4.10966931569779,4.107998065517822,7.1615116843034095,7.1615116843034095,3.8511375334771345,1.8203376090669903
13.850000000000003,4.631043987683457,4.6305087570649945,7.216851934515196,7.216851934515196,4.089140241438068,2.1736278511210534
13.950000000000003,5.087221240732111,5.087092451651918,7.258615717497742,7.258615717497742,4.266311669454344,2.520953220110587
14.050000000000004,5.474111526862332,5.474111526862332,7.2908333697813354,7.2908333697813354,4.381996765821152,2.8664368038678893
14.150000000000004,5.8136136127924285,5.8136136127924285,7.321823151991903,7.321823151991903,4.44261685807215,3.2103209834305124
14.250000000000004,6.129273602192765,6.129273602192765,7.358896799614002,7.358896799614002,4.4639894108913625,3.5431666749135604
14.350000000000003,6.44180988942252,6.44180988942252,7.405720081204542,7.405720081204542,4.469605853225663,3.8485479253218293
14.450000000000003,6.769387806720404,6.769387806720404,7.461980934686165,7.461980934686165,4.480681671587231,4.108765928917589
14.550000000000004,7.110040121126932,7.110040121126932,7.524199580463426,7.524199580463426,4.504231710738051,4.309555481701783
14.650000000000004,7.433505703265456,7.433505703265456,7.586499128360472,7.586499128360472,4.531524417491361,4.443897125793363
14.750000000000004,7.702572730383008,7.702572730383008,7.6402054881648365,7.6402054881648365,4.549488041126488,4.516288755075593
14.850000000000003,7.904784422671924,7.904784422671924,7.674559617352337,7.674559617352337,4.55201991053089,4.541739116258212
14.950000000000003,8.037221886592555,8.037221886592555,7.6785929457314985,7.6785929457314985,4.540908095676115,4.538493065862215
15.050000000000004,8.075349722964312,8.075349722964312,7.643492191428472,7.643492191428472,4.518707353118183,4.518315432831945
15.150000000000004,7.972720778773263,7.972720778773263,7.563615613012095,7.563168180902872,4.487564018544082,4.487564018544082
15.250000000000004,7.7142840271018995,7.7142840271018995,7.430797947754791,7.428240235613496,4.454191129675531,4.454191129675531
15.350000000000003,7.342137939056157,7.342137939056157,7.229398918535761,7.217507980932778,4.43028934972147,4.43028934972147
15.450000000000003,6.92115882069174,6.92115882069174,6.941782404865843,6.899678455484836,4.425080884200136,4.425080884200136
15.550000000000004,6.488043702156494,6.483590955166264,6.576274404339874,6.453045386537354,4.439416789865879,4.439416789865879
15.650000000000004,6.060011589283366,6.037781144287712,6.183605750206771,5.877017411014971,4.47002631328033,4.47002631328033
15.750000000000004,5.680623076981446,5.603333648936478,5.8432963517929535,5.18273997141547,4.520004344795815,4.520004344795815
15.850000000000003,5.42588224958999,5.215706402086899,5.627089095817965,4.376752118319962,4.600151056461282,4.600151056461282
15.950000000000005,5.352086943594752,4.888979963413115,5.5718959148289695,3.4751481244031512,4.719190484652672,4.719190484652672
16.050000000000004,5.466726670309371,4.624552895885244,5.6826465613737245,2.530112171095661,4.871411151772001,4.871411151772001
16.150000000000002,5.733284195285755,4.433449770661881,5.939889418968882,1.6211156256402819,5.034090583892711,5.034090583892711
16.250000000000004,6.136530401288933,4.373134412305385,6.300909896467464,0.8108581074504069,5.176389427229466,5.176389427229466
16.350000000000005,6.715176473558594,4.529335216968859,6.702137299103183,0.11797843952865066,5.273070520935821,5.273070520935821
16.450000000000003,7.518462407659514,4.957219664677344,7.065764618732378,-0.4606447090146248,5.313411696811249,5.313411696811249
16.550000000000004,8.507378995395227,5.61161226068288,7.314713142834784,-0.9182062968440735,5.300610393399704,5.300610393399704
16.650000000000006,9.456318738511497,6.256572205517265,7.392350019116429,-1.2347221852532917,5.243622968135548,5.243622968135548
16.750000000000004,10.007262829963146,6.503276705852494,7.284122187336712,-1.4032178010496126,5.149301616332976,5.149301616332976
16.850000000000005,9.872258122056119,6.020234822487636,7.004499529690885,-1.4371580432218223,5.022138089663266,5.022138089663266
16.950000000000003,9.040840567749289,4.780257767630012,6.564389509367299,-1.3524775721446556,4.869074872291035,4.869074872291035
17.050000000000004,7.8066287824449105,3.137106376332325,5.951454722453637,-1.149246137054584,4.701447813431164,4.701447813431164
17.150000000000006,6.576169331090422,1.608667562384537,5.16319743224801,-0.8261010004073754,4.530564187558171,4.530564187558171
17.250000000000004,5.6183186308446995,0.5528886608250546,4.260743327529969,-0.41249152195129435,4.362443773327056,4.362443773327056
17.350000000000005,4.975016232447044,0.00688714779496006,3.3698261202477546,0.025522810258440547,4.197410224597404,4.197410224597404
17.450000000000003,4.576845889054871,-0.1999553218805669,2.6232675208345806,0.42251994108744617,4.033795778939803,4.033795778939803
17.550000000000004,4.350511682923309,-0.2762560010070348,2.104466728597564,0.7457342943480433,3.870311786040587,3.870311786040587
17.650000000000006,4.244226998599747,-0.35593458659833843,1.8401055774126078,0.9898696501020087,3.7071937526274454,3.7071937526274454
17.750000000000004,4.200036694280097,-0.4894296381468783,1.8242251468055588,1.1524777484127489,3.546208193790939,3.546208193790939
17.850000000000005,4.15784913917912,-0.6777826268707334,2.031967267487819,1.2349084003041735,3.3914752488018665,3.3914752488018665
17.950000000000003,4.112110672207004,-0.869088096812699,2.4171600769341386,1.2560989275237289,3.248657421223379,3.248657421223379
18.050000000000004,4.099513874552705,-0.9977695152194748,2.909117145989885,1.2556731471014932,3.1230646503439763,3.1230646503439763
18.150000000000006,4.143069916467639,-1.0245390201578077,3.4322523455607477,1.2705725246889592,3.0179213831249365,3.0179213831249365
18.250000000000004,4.208750276443906,-0.960855573008293,3.9314085691103178,1.3193092134683861,2.9329928989123184,2.9329928989123184
18.350000000000005,4.236469545630141,-0.8536200101223578,4.380676341081929,1.402331118095761,2.8645287815532843,2.8645287815532843
18.450000000000003,4.1951025297975155,-0.7457661321707347,4.768636027958406,1.516043310787308,2.8066438641717024,2.8066438641717024
18.550000000000004,4.104951706647483,-0.6589969254987046,5.079630204769353,1.6592631717698867,2.75524426232507,2.75524426232507
18.650000000000006,4.00550727676572,-0.5850436229990054,5.292212482495739,1.8321285021718976,2.711642536906951,2.711642536906951
18.750000000000004,3.9129575419219864,-0.487569684213627,5.392094989502949,2.0286552424192887,2.682364469219466,2.682364469219466
18.850000000000005,3.8162070860189847,-0.3101373199291439,5.378891747072356,2.2347673931712206,2.673300050067336,2.673300050067336
18.950000000000003,3.7020211885913312,-0.01833459809353526,5.260311084022755,2.4322184697764033,2.6823292730048096,2.6823292730048096
19.050000000000004,3.5730664603728117,0.37316762587593005,5.047444985019394,2.6051093123089815,2.6973105733357263,2.6973105733357263
19.150000000000006,3.4372835343408017,0.8096451654097192,4.760526849244809,2.741801613189872,2.7020187173377868,2.7020187173377868
19.250000000000004,3.295859178734026,1.2419523509535393,4.435131219401273,2.83582993025189,2.6876597805979974,2.6876597805979974
19.350000000000005,3.1464886771122913,1.6455147120374067,4.114138527797756,2.8872114004937774,2.6604612875304463,2.6604612875304463
19.450000000000003,3.0034439719959525,2.0049446849264227,3.8296467941015244,2.9033483296260467,2.6405322719907534,2.6405322719907534
19.550000000000004,2.8893785542377737,2.295283423030445,3.592837763433839,2.8958081526831365,2.6527265987072157,2.6527265987072157
19.650000000000006,2.8090912419959904,2.4910496403870117,3.4008557143682947,2.8747244935908984,2.7132795331814807,2.7132795331814807
19.750000000000004,2.7411924785151722,2.582447481126559,3.249284365609087,2.8471094463110482,2.8196134711574135,2.8196134711574135
19.850000000000005,2.658876515770681,2.5830071495692417,3.13688984656653,2.817914262211133,2.949122318341778,2.949122318341778
19.950000000000003,2.5585448253550505,2.5243941029587456,3.061976423814197,2.7921300711964294,3.070511285410835,3.070511285410835
